id,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area
pyracarbolid,1,217.26800000000003,1,2,2,38.33
Ethyl vinyl ether,1,72.10700000000001,0,0,2,9.23
1-Butyne,1,54.09199999999999,0,0,0,0.0
4-methoxypteridine,1,162.15200000000004,0,2,1,60.790000000000006
3-Methyl-3-heptanol,1,130.23099999999997,1,0,4,20.23
"1,4-Dichlorobenzene",1,147.00400000000005,0,1,0,0.0
3-Ethanoyloxymethylphenytoin,1,324.33600000000007,1,3,4,75.71
"Sparsomycin (3,8mg/ml)",1,361.44500000000016,4,1,8,132.11999999999998
3-methylindole,1,131.17799999999997,1,2,0,15.79
2-methoxypteridine,1,162.15200000000002,0,2,1,60.790000000000006
Dioxacarb,1,223.22799999999995,1,2,2,56.790000000000006
isocarbamid,1,185.227,2,1,2,61.44000000000001
Acetonitrile,1,41.053000000000004,0,0,0,23.79
Fenoxycarb,1,301.3420000000001,1,2,7,56.790000000000006
acetyl sulfisoxazole,1,293.34800000000007,1,2,3,89.43
"1,1,1,2-Tetrachloroethane",1,167.85,0,0,0,0.0
1-Butanol,1,74.12299999999998,1,0,2,20.23
Siduron,1,232.32700000000003,2,2,2,41.13
"1,3,5-Trichlorobenzene",1,181.449,0,1,0,0.0
Furfural,1,96.08499999999998,0,1,1,30.21
3-Methylbutan-1-ol,1,88.14999999999998,1,0,2,20.23
piperonal,1,150.13299999999995,0,2,1,35.53
2-Methylpropene,1,56.108,0,0,0,0.0
Benzaldehyde,1,106.12399999999997,0,1,1,17.07
"2,3-Dimethyl-1,3-Butadiene",1,82.146,0,0,1,0.0
Benfuracarb,1,410.5360000000002,0,2,8,68.31
RTI 10,1,226.235,0,3,0,42.43
Fluorene ,2,166.22299999999996,0,3,0,0.0
Methylcyclohexane ,1,98.189,0,1,0,0.0
sulfaguanidine,1,214.25,4,1,2,122.06
Methylparaben,1,152.149,1,1,1,46.53
2-Methyltetrahydrofurane,1,86.134,0,1,0,9.23
Santonin,1,246.30599999999995,0,3,0,43.37000000000001
Salicin,1,286.28,5,2,4,119.61
1-Iodopropane,1,169.993,0,0,1,0.0
Ametryn,1,227.33700000000002,2,1,5,62.73
1-Propanol,1,60.096000000000004,1,0,1,20.23
Hydroxyprogesterone-17a,1,330.46800000000013,1,4,1,54.37
2-Pentanol,1,88.14999999999998,1,0,2,20.23
benzoin,1,212.248,1,2,3,37.3
"2,4-Dimethylphenol",1,122.167,1,1,0,20.23
m-Chloronitrobenzene ,1,157.55599999999995,0,1,1,43.14
ampyrone,1,203.245,1,2,1,52.95
"2,2',4,5'-PCB",1,291.992,0,2,1,0.0
"Hexachloro-1,3-butadiene",1,260.762,0,0,1,0.0
Terbutryn,1,241.364,2,1,4,62.73
3-Methyl-2-pentanol,1,102.177,1,0,3,20.23
2-methylpteridine,1,146.153,0,2,0,51.56
Danazol,1,337.46300000000014,1,5,0,46.26000000000001
1-Iodobutane,1,184.02,0,0,2,0.0
2-Bromonapthalene,1,207.07,0,2,0,0.0
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",1,780.9490000000002,6,8,7,203.06
Benzyltrifluoride,1,146.111,0,1,0,0.0
Dihexyl phthalate,1,334.45600000000024,0,1,12,52.60000000000001
Dibenzothiophene,2,184.263,0,3,0,0.0
"2,3',4,4'-PCB",1,326.437,0,2,1,0.0
"2,2',3,3',4,4'-PCB",1,360.88200000000006,0,2,1,0.0
Warfarin,1,308.33300000000014,1,3,4,67.50999999999999
hydrobenzoin,1,214.264,2,2,3,40.46
Dimethyl phthalate,1,194.18599999999995,0,1,2,52.60000000000001
Ethyl octanoate,1,172.26799999999997,0,0,7,26.3
Diethyldisulfide,1,122.258,0,0,3,0.0
"1,2-Diethoxyethane ",1,118.176,0,0,5,18.46
"1,2,4,5-Tetrachlorobenzene",1,215.894,0,1,0,0.0
p-benzidine,1,184.24200000000002,2,2,1,52.04
1-Heptene,1,98.189,0,0,4,0.0
Ethirimol,1,209.293,2,1,5,57.78
Pentobarbital,1,226.27599999999995,2,1,4,75.27000000000002
o-Chloroaniline,1,127.574,1,1,0,26.02
3-Chloroanisole,1,142.58499999999995,0,1,1,9.23
Pebulate,1,203.351,0,0,6,20.31
Butyl acetate,1,102.13299999999998,0,0,4,26.3
Prednisolone,1,360.45000000000016,3,4,2,94.83
Bromodichloromethane,1,163.82899999999995,0,0,0,0.0
adrenosterone,1,300.39800000000014,0,4,0,51.21
p-terphenyl,2,230.31,0,3,2,0.0
p-Hydroxybenzaldehyde ,1,122.12299999999998,1,1,1,37.3
Bromomethane,1,94.939,0,0,0,0.0
Perfluidone,1,379.381,1,2,4,80.31
Coumachlor,1,342.77800000000013,1,3,4,67.50999999999999
2-Ethylnaphthalene,1,156.22799999999995,0,2,1,0.0
5-methylcytosine,1,125.131,2,1,0,71.77000000000002
"2,3,4,5,6-PCB",1,326.437,0,2,1,0.0
benodanil,1,323.133,1,2,2,29.1
Riboflavin,1,376.36900000000014,5,3,5,161.56
o-Fluorobromobenzene,1,175.0,0,1,0,0.0
"2,4-Dichlorophenol ",1,163.003,1,1,0,20.23
Permethrin,1,391.29400000000015,0,3,6,35.53
piroxicam,1,331.353,2,3,2,99.6
3-Propanoyloxymethylphenytoin,1,338.36300000000006,1,3,5,75.71
Cyclopentane ,2,70.135,0,1,0,0.0
o-Toluidine,1,107.156,1,1,0,26.02
Estragole,1,148.205,0,1,3,9.23
karbutilate,1,279.34,2,1,2,70.67
3-Methyl-1-Butene,1,70.135,0,0,1,0.0
2-Hydroxypyridine,1,95.101,1,1,0,33.120000000000005
Ethane,1,30.07,0,0,0,0.0
"1,2-Dichlorobenzene",1,147.00399999999996,0,1,0,0.0
mercaptobenzothiazole,1,167.25799999999995,1,2,0,12.89
"2,2',3,3',4,4',5,5',6,6'-PCB",1,498.6620000000002,0,2,1,0.0
Methoxsalen,1,216.19199999999995,0,3,1,52.58
Acetamide,1,59.068000000000005,1,0,0,43.09
1-Methylnaphthalene,1,142.201,0,2,0,0.0
Napropamide,1,271.36,0,2,5,29.540000000000006
"3,3-Dimethyl-2-butanol",1,102.177,1,0,0,20.23
Methyl pentanoate,1,116.15999999999998,0,0,3,26.3
Menadione,1,172.18299999999996,0,2,0,34.14
Phenanthrene,2,178.23399999999995,0,3,0,0.0
"2,4-Dimethylpyridine",1,107.156,0,1,0,12.89
1-Nonanol,1,144.25799999999998,1,0,7,20.23
Dibromomethane,1,173.83499999999995,0,0,0,0.0
Dexamethasone,1,392.46700000000016,3,4,2,94.83
"2,6-Dimethylnaphthalene ",1,156.22799999999998,0,2,0,0.0
Butylate,1,217.378,0,0,5,20.31
nitroglycerin,1,227.085,0,0,8,157.11
m-Nitroaniline,1,138.126,1,1,1,69.16
1-Chlorobutane,1,92.569,0,0,2,0.0
triforine,1,430.93400000000014,2,1,6,64.68
Fluridone,1,329.321,0,3,2,22.0
6-aminochrysene,1,243.30900000000003,1,4,0,26.02
Estrone,1,270.372,1,4,0,37.3
RTI 17,1,269.373,0,3,1,19.37
"1,2-Propylene oxide",1,58.08,0,1,0,12.53
Nitrazepam,1,281.27099999999996,1,3,2,84.6
"1,3-diethylthiourea",1,132.232,2,0,2,24.06
"2,3,5-Trichlorophenol",1,197.448,1,1,0,20.23
Propyl propanoate,1,116.15999999999998,0,0,3,26.3
Aniline ,1,93.129,1,1,0,26.02
"1,5-Dimethlnapthalene",1,156.22799999999998,0,2,0,0.0
hydrochlorothiazide,1,297.745,3,2,1,118.36
Acenapthylene,2,152.19599999999994,0,3,0,0.0
Ethyl butyrate,1,144.21399999999997,0,0,5,26.3
Atratone,1,211.269,2,1,5,71.96000000000002
Benzo(a)pyrene,2,252.316,0,5,0,0.0
Bromoethane,1,108.96600000000001,0,0,0,0.0
3-Hexyne,1,82.14599999999999,0,0,0,0.0
Digitoxin,1,764.9499999999998,5,8,7,182.83
2-Methyl-1-Butene,1,70.13499999999999,0,0,1,0.0
8-quinolinol,1,145.16099999999997,1,2,0,33.120000000000005
"1,2,3,4-Tetrahydronapthalene",2,132.20599999999996,0,2,0,0.0
phenolphthalein,1,318.3280000000001,2,4,2,66.76
"1,3,5-Tribromobenzene",1,314.802,0,1,0,0.0
Ronnel,1,321.54900000000004,0,1,4,27.69
methylthiouracil,1,142.18300000000005,2,1,0,48.65
Eugenol,1,164.204,1,1,3,29.46
5-Allyl-5-isopropylbarbital,1,210.233,2,1,3,75.27000000000002
Pyrene,2,202.256,0,4,0,0.0
"1,1-Diethoxyethane ",1,118.176,0,0,4,18.46
Clomazone,1,239.702,0,2,2,29.54
2-Butoxyethanol,1,118.176,1,0,5,29.46
Quintozene,1,295.336,0,1,1,43.14
Androsterone,1,290.447,1,4,0,37.3
Flurochloridone,1,312.118,0,2,2,20.31
Quinoline,2,129.16199999999998,0,2,0,12.89
methyl gallate,1,184.14700000000002,3,1,1,86.99000000000002
fluconazole,1,306.276,1,3,5,81.64999999999998
Chlorzoxazone,1,169.567,1,2,0,46.0
"2,2',3,4,4',5',6-PCB",1,395.32700000000017,0,2,1,0.0
alloxan,1,142.07,2,1,0,92.34
"1,3-Dichloropropane",1,112.987,0,0,2,0.0
m-Fluorobromobenzene,1,175.0,0,1,0,0.0
p-Chlorobromobenzene,1,191.455,0,1,0,0.0
"2,3-Dimethylbutane",1,86.178,0,0,1,0.0
1-Butene,1,56.108000000000004,0,0,1,0.0
"2,2',3,4,5,5'-PCB",1,360.88200000000006,0,2,1,0.0
cytosine,1,111.104,2,1,0,71.77000000000002
"1,1,2-Trichlorotrifluoroethane",1,187.37500000000003,0,0,1,0.0
Propionitrile,1,55.07999999999999,0,0,0,23.79
"O,P'-DDD",1,320.04600000000005,0,2,3,0.0
o-Nitroanisole,1,153.13699999999997,0,1,2,52.37
Prasterone,1,288.4310000000001,1,4,0,37.3
Procymidone,1,284.142,0,3,1,37.38
Benzo[ghi]perylene,2,276.33799999999997,0,6,0,0.0
Dinoseb,1,240.21499999999997,1,1,4,106.51000000000002
meconin,1,196.202,0,2,2,44.76000000000001
Glycerol,1,92.094,3,0,2,60.69
Guaiacol,1,124.13899999999997,1,1,1,29.46
chlorpyrifos,1,350.591,0,1,6,40.58
9-Methylanthracene,1,192.261,0,3,0,0.0
Antipyrene,1,188.23,0,2,1,26.93
Methyl butyl ether ,1,88.14999999999998,0,0,3,9.23
7-methylpteridine,1,146.153,0,2,0,51.56
simazine,1,201.66099999999997,2,1,4,62.73
"N,N-Dimethylacetamide",1,87.12199999999999,0,0,0,20.31
Simetryn,1,213.31,0,1,3,45.15000000000001
Ethylene,1,28.053999999999995,0,0,0,0.0
"3,3-Dimethyl-1-butanol",1,102.177,1,0,1,20.23
5-Allyl-5-ethylbarbital,1,196.206,2,1,3,75.27000000000002
"2,3,4-Trichlorophenol",1,197.44799999999998,1,1,0,20.23
Anisole,1,108.13999999999996,0,1,1,9.23
chloropropylate,1,339.21800000000013,1,2,4,46.53
aldosterone,1,360.4500000000001,2,4,3,91.67000000000002
Difenoxuron,1,286.33099999999996,1,2,4,50.8
4-Ethyltoluene,1,120.19499999999996,0,1,1,0.0
Diisopropylsulfide,1,118.245,0,0,2,0.0
"1,3-Dinitrobenzene",1,168.10799999999998,0,1,2,86.28
Ethion,1,384.48700000000014,0,0,12,36.92
probarbital,1,198.222,2,1,2,75.27000000000002
cortisone acetate,1,402.48700000000025,1,4,3,97.74
Metronidazole,1,171.15599999999995,1,1,3,81.19
p-Chloroaniline,1,127.574,1,1,0,26.02
"2,2-Dimethylpentanol",1,116.20399999999998,1,0,3,20.23
Furane,2,68.07499999999999,0,1,0,13.14
Methoproptryne,1,271.39,2,1,8,71.96000000000002
Norea,1,222.33199999999997,1,3,1,32.34
t-Butylbenzene ,1,134.22199999999998,0,1,0,0.0
kebuzone,1,322.3640000000001,0,3,5,57.69000000000001
prednisolone acetate,1,402.48700000000014,2,4,3,100.90000000000002
Methyl propyl ether ,1,74.12299999999998,0,0,2,9.23
Isopropyl acetate,1,102.133,0,0,1,26.3
Bromobenzene,1,157.01,0,1,0,0.0
Ethyl-p-hydroxybenzoate ,1,166.176,1,1,2,46.53
3-Butanoyloxymethylphenytoin,1,352.3900000000001,1,3,6,75.71
testosterone propionate,1,344.4950000000002,0,4,2,43.37000000000001
Coronene,2,300.36000000000007,0,7,0,0.0
allopurinol,1,136.114,2,2,0,74.43
Chloroethylene,1,62.498999999999995,0,0,0,0.0
diphenamid,1,239.31799999999998,0,2,3,20.31
Tetrabromomethane,1,331.6269999999999,0,0,0,0.0
RTI 22,1,296.374,1,3,2,48.47
phthalimide,1,147.13299999999995,1,2,0,46.17
Fenarimol,1,331.202,1,3,3,46.01000000000001
Methyl benzoate ,1,136.14999999999998,0,1,1,26.3
1-methyluracil,1,126.115,1,1,0,54.86
oxyphenbutazone,1,324.38000000000005,1,3,5,60.85000000000001
"2,2',3,5'-PCB",1,291.99200000000013,0,2,1,0.0
Quinethazone,1,289.74400000000014,3,2,2,101.29
Diuron,1,233.098,1,1,1,32.34
Cyclopentene ,2,68.11900000000001,0,1,0,0.0
alloxantin,1,286.156,6,2,1,191.0
Nonane,1,128.259,0,0,6,0.0
2-Chlorophenol,1,128.558,1,1,0,20.23
5-Methylchrysene,1,242.321,0,4,0,0.0
Phenetole,1,122.16699999999996,0,1,2,9.23
ethyl cinnamate,1,176.215,0,1,3,26.3
Terbacil,1,216.668,1,1,0,54.86
Clonazepam,1,315.716,1,3,2,84.6
p-Toluenesulfonamide ,1,171.22099999999998,1,1,1,60.16
Chlorbufam,1,223.65900000000002,1,1,2,38.33
2-Methylheptane,1,114.232,0,0,4,0.0
Cyhalothrin,1,449.85600000000017,0,3,6,59.32000000000001
Apazone,1,300.36200000000014,0,3,2,56.22000000000001
Diazepam,1,284.7460000000001,0,3,1,32.67
2-Methyl-3-pentanol,1,102.177,1,0,2,20.23
fensulfothion,1,308.3610000000001,0,1,7,44.76000000000001
borneol,1,154.253,1,2,0,20.23
Testosterone,1,288.431,1,4,0,37.3
Heptane,1,100.205,0,0,4,0.0
1-Napthol,1,144.17299999999997,1,2,0,20.23
"cis-1,2-Dimethylcyclohexane",1,112.21600000000001,0,1,0,0.0
Trimazosin,1,435.4810000000003,2,3,6,132.5
Cholanthrene,2,254.332,0,5,0,0.0
Medrogestone,1,340.5070000000001,0,4,1,34.14
2-Heptanone,1,114.188,0,0,4,17.07
Acephate,1,183.169,1,0,3,55.4
DEF,1,314.5220000000001,0,0,12,17.07
phthalamide,1,149.149,1,2,0,46.17
Trichlomethiazide,1,380.662,3,2,2,118.36
2-Methy-2-Butene,1,70.13499999999999,0,0,0,0.0
"1,2,4-Trimethylbenzene",1,120.195,0,1,0,0.0
"2,4,5-Trichlorophenol ",1,197.44799999999998,1,1,0,20.23
phenanthridine,2,179.22199999999995,0,3,0,12.89
3-Methyl-3-hexanol,1,116.20399999999998,1,0,3,20.23
Octane,1,114.23200000000001,0,0,5,0.0
Anthracene,2,178.23399999999995,0,3,0,0.0
Phenylhydrazine,1,108.14399999999998,2,1,1,38.05
Propionaldehyde,1,58.08,0,0,1,17.07
Cyclooctane,2,112.216,0,1,0,0.0
"5,5-Diallylbarbital",1,208.217,2,1,4,75.27000000000002
Trichloromethane,1,119.378,0,0,0,0.0
thiouracil,1,128.15599999999998,2,1,0,45.75
Pencycuron,1,328.843,1,3,4,32.34
1-Methylcyclohexene ,1,96.17300000000002,0,1,0,0.0
2-Ethylhexanal,1,128.21499999999997,0,0,5,17.07
Khellin,1,260.24499999999995,0,3,2,61.81
5-Ethyl-5-(3-methylbutyl)barbital,1,226.27599999999995,2,1,4,75.27000000000002
Benzo(j)fluoranthene,2,252.316,0,5,0,0.0
2-Ethylbutanal,1,100.161,0,0,3,17.07
Dipropyl ether,1,102.177,0,0,4,9.23
1-Tetradecanol,1,214.39299999999997,1,0,12,20.23
"2,3,6-Trichlorophenol",1,197.448,1,1,0,20.23
Urea,1,60.056000000000004,2,0,0,69.11
1-Pentyne,1,68.11899999999999,0,0,1,0.0
"1,3-Dibromobenzene",1,235.906,0,1,0,0.0
1-Octadecanol,1,270.50099999999986,1,0,16,20.23
Acetanilide,1,135.16599999999997,1,1,1,29.1
hematein,1,300.26599999999996,4,4,0,107.22
Isonazid,1,137.14200000000002,2,1,1,68.01
hydroxychlordene,1,354.87499999999983,1,3,0,20.23
Isopentyl formate,1,116.15999999999998,0,0,4,26.3
Acetophenone,1,120.15099999999997,0,1,1,17.07
biquinoline,2,256.308,0,4,1,25.78
Triethyl phosphate,1,182.156,0,0,6,44.76000000000001
D-fenchone,1,152.237,0,2,0,17.07
7-methoxypteridine,1,162.15200000000002,0,2,1,60.790000000000006
Chlordene,1,338.876,0,3,0,0.0
2-Nitropropane,1,89.094,0,0,1,43.14
Carbazole,2,167.21099999999996,1,3,0,15.79
Erythritol,1,122.12,4,0,3,80.92
Risocaine,1,179.21899999999997,1,1,3,52.32
Azodrin,1,223.165,1,0,5,73.86
Succinimide,1,99.089,1,1,0,46.17
"2,3-Dimethylpentane",1,100.20499999999998,0,0,2,0.0
bupirimate,1,316.42700000000013,1,1,8,84.42
RTI 16,1,270.361,0,3,1,32.260000000000005
RTI 9,1,239.274,0,3,1,29.54
Tetrahydropyran ,2,86.134,0,1,0,9.23
1-Heptyne,1,96.173,0,0,3,0.0
osthole,1,244.28999999999996,0,2,3,39.44
3-Methylcholanthrene,1,268.3589999999999,0,5,0,0.0
Ethyl benzoate ,1,150.17700000000002,0,1,2,26.3
1-Chloro-2-methylpropane,1,92.569,0,0,1,0.0
Ethinyl estradiol,1,296.41,2,4,0,40.46
methyl laurate,1,214.349,0,0,10,26.3
Di-n-propylsulfide,1,118.245,0,0,4,0.0
Napthacene,2,228.294,0,4,0,0.0
1-Bromopentane,1,151.047,0,0,3,0.0
trans-2-Heptene ,1,98.18899999999998,0,0,3,0.0
Metranidazole,1,171.15599999999995,1,1,3,81.19
Pentylcyclopentane,1,140.26999999999998,0,1,4,0.0
"2,2',3,5,5',6-PCB",1,360.88200000000006,0,2,1,0.0
5-Ethyl-5-isopropylbarbituric acid,1,198.222,2,1,2,75.27000000000002
"1,1,1-Trichloroethane",1,133.405,0,0,0,0.0
Monolinuron,1,214.65200000000002,1,1,2,41.57
Cyclohexyl-5-spirobarbituric acid,1,196.206,2,2,0,75.27
dimetan,1,211.26099999999997,0,1,1,46.61
4-Bromotoluene,1,171.03700000000003,0,1,0,0.0
Diethyl ether ,1,74.123,0,0,2,9.23
Rovral,1,330.17100000000005,1,2,2,69.72
Benfluralin,1,335.2820000000001,0,1,7,89.51999999999998
"2,4,6-Trimethylphenol",1,136.194,1,1,0,20.23
Benzene ,2,78.11399999999998,0,1,0,0.0
p-Chloroiodobenzene,1,238.455,0,1,0,0.0
Metoxuron,1,228.679,1,1,2,41.57
propachlor,1,211.69200000000004,0,1,3,20.31
Styrene,1,104.15199999999996,0,1,1,0.0
Dimethoxymethane,1,76.095,0,0,2,18.46
o-Xylene ,1,106.168,0,1,0,0.0
Butan-2-ol,1,74.12299999999998,1,0,1,20.23
"1,4-Benzenediol",1,110.11199999999998,2,1,0,40.46
estriol,1,288.387,3,4,0,60.69
Benzo(b)fluorene,2,216.283,0,4,0,0.0
hydantoin,1,100.07700000000001,2,1,0,58.2
4-hexylresorcinol,1,194.27399999999992,2,1,5,40.46
allicin,1,162.27899999999997,0,0,5,17.07
Coumaphos,1,362.7710000000001,0,2,6,57.9
"5,6-Dimethylchrysene",1,256.348,0,4,0,0.0
Betamethasone-17-valerate,1,476.58500000000015,2,4,6,100.90000000000002
uric acid,1,168.112,4,2,0,114.36999999999998
"2,3,4,6-Tetrachlorophenol",1,231.893,1,1,0,20.23
"1,3-Dichlorobenzene",1,147.004,0,1,0,0.0
DDT,1,354.491,0,2,2,0.0
Isobutyl formate,1,102.13299999999998,0,0,3,26.3
thioanisole,1,124.208,0,1,1,0.0
RTI 13,1,322.29,1,3,1,58.12000000000001
Hexane ,1,86.178,0,0,3,0.0
methyl nicotinate,1,137.138,0,1,1,39.19
Bendroflumethiazide,1,421.42200000000014,3,3,3,118.36
"2,3,3',4,4',5-PCB",1,360.88200000000006,0,2,1,0.0
Vinclozolin,1,286.1140000000001,0,2,2,46.61
Cyanazine,1,240.69799999999998,2,1,4,86.52
Triphenylene,2,228.294,0,4,0,0.0
Dienestrol,1,266.34,2,2,3,40.46
Di(2-ethylhexyl)-phthalate,1,390.5640000000003,0,1,14,52.60000000000001
2-Ethyl pyridine,1,107.15599999999998,0,1,1,12.89
Naled,1,380.784,0,0,5,44.76000000000001
Biphenyl,2,154.21199999999996,0,2,1,0.0
"2,2',4,4',6,6'-PCB",1,360.88200000000006,0,2,1,0.0
Altretamine,1,210.285,0,1,3,48.39000000000001
"2,4-Dimethyl-2-pentanol ",1,116.20399999999998,1,0,2,20.23
Cycloheptyl-5-spirobarbituric acid,1,210.233,2,2,0,75.27
Fructose,1,180.15599999999998,5,1,2,110.38
"3,5-Dimethylphenol",1,122.16699999999996,1,1,0,20.23
Barban,1,258.10400000000004,1,1,2,38.33
p-Chloroacetanilide,1,169.611,1,1,1,29.1
"2,2',3,4,5,5',6-PCB",1,395.32700000000017,0,2,1,0.0
"2,2-Dimethylbutane",1,86.17799999999998,0,0,0,0.0
N-Methylaniline ,1,107.15599999999998,1,1,1,12.03
"1,4-Pentadiene ",1,68.119,0,0,2,0.0
Hydrocortisone 21-acetate,1,404.50300000000016,2,4,3,100.90000000000002
DNOC,1,198.13400000000001,1,1,2,106.51000000000002
Lorazepam,1,321.163,2,3,1,61.69000000000001
3-Chlorophenol,1,128.558,1,1,0,20.23
m-Chlorobromobenzene,1,191.455,0,1,0,0.0
chlorothiazide,1,295.7290000000001,2,2,1,118.69
5-Methyl-5-ethylbarbituric acid,1,170.16799999999995,2,1,1,75.27000000000002
2-Phenoxyethanol,1,138.16599999999997,1,1,3,29.46
Diphenylmethane,2,168.239,0,2,2,0.0
3-Octanol,1,130.23099999999997,1,0,5,20.23
Flumetralin,1,421.73400000000015,0,2,6,89.51999999999998
Propazine,1,229.71500000000003,2,1,4,62.73
2-Methylpentanol,1,102.177,1,0,3,20.23
2-Methyl-2-hexanol,1,116.20399999999998,1,0,3,20.23
Ethylbenzene,1,106.16799999999996,0,1,1,0.0
5-(3-Methyl-2-butenyl)-5-ethylbarbital,1,224.26,2,1,3,75.27000000000002
Heptachlor,1,373.32099999999986,0,3,0,0.0
butallylonal,1,303.156,2,1,4,75.27000000000002
Fenpropathrin,1,349.43000000000006,0,3,5,59.32000000000001
Methoprene,1,310.47800000000007,0,0,10,35.53
Ethyl propionate,1,102.133,0,0,2,26.3
Prometryn,1,241.364,2,1,5,62.73
Buturon,1,236.702,1,1,2,32.34
"2,3-Dimethylnaphthalene",1,156.22799999999995,0,2,0,0.0
"2,4',5-PCB",1,257.547,0,2,1,0.0
"2,3',4,4',5-PCB",1,360.88200000000006,0,2,1,0.0
2-cyanoguanidine,1,84.08200000000001,2,0,0,88.19
Chloropicrin,1,164.375,0,0,0,43.14
"2,6-PCB",1,223.102,0,2,1,0.0
p-Methoxybenzaldehyde,1,136.14999999999998,0,1,2,26.3
4-Nitroacetanilide,1,180.163,1,1,2,72.24000000000002
Ethyl heptanoate,1,158.241,0,0,6,26.3
p-Hydroxyacetanilide,1,151.165,2,1,1,49.33
indazole,2,118.13899999999998,1,2,0,28.68
triamcinolone acetonide,1,434.50400000000025,2,5,2,93.06000000000002
guanine,1,151.129,3,2,0,100.45
Methyl acetate,1,74.07900000000002,0,0,0,26.3
Stanolone,1,290.44699999999995,1,4,0,37.3
1-Hexene-3-ol,1,100.161,1,0,3,20.23
norbormide,1,511.58100000000013,2,7,5,92.18
Dibutyl ether ,1,130.231,0,0,6,9.23
1-Dodecanol,1,186.339,1,0,10,20.23
RTI 6,1,313.3610000000001,2,3,4,81.59000000000002
2-Methyl-2-pentanol,1,102.17699999999998,1,0,2,20.23
Flucytosine,1,129.09399999999997,2,1,0,71.77
stadacaine,1,293.4070000000001,0,1,9,38.77
2-Methyl-2-heptanol,1,130.231,1,0,4,20.23
Hexamethylbenzene,1,162.27599999999995,0,1,0,0.0
Thymol,1,150.22099999999998,1,1,1,20.23
Pteridine,2,132.12599999999998,0,2,0,51.56
Parathion,1,291.2650000000001,0,1,7,70.83000000000001
Methane,0,16.043,0,0,0,0.0
indoline,2,119.167,1,2,0,12.03
1-Nitronapthalene,1,173.171,0,2,1,43.14
3-Methyl-2-pentanone,1,100.161,0,0,2,17.07
isoguanine,1,151.129,3,2,0,100.71
bromadiolone,1,527.4140000000001,2,5,6,70.67
Nitromethane,1,61.040000000000006,0,0,0,43.14
Triallate,1,304.67,0,0,4,20.31
"1,5-Hexadiene ",1,82.14599999999999,0,0,3,0.0
Indole,2,117.15099999999997,1,2,0,15.79
Androstenedione,1,286.415,0,4,0,34.14
1-Hexene,1,84.16199999999998,0,0,3,0.0
Xipamide,1,354.81500000000017,3,2,3,109.48999999999998
Ethylcyclohexane,1,112.216,0,1,1,0.0
2-Nonanone,1,142.24200000000002,0,0,6,17.07
Mebendazole,1,295.298,2,3,3,84.07999999999998
Chloropham,1,213.664,1,1,2,38.33
RTI 12,1,288.73800000000006,0,3,1,49.33000000000001
Carbaryl,1,201.225,1,2,1,38.33
Ethyne,1,26.038,0,0,0,0.0
"3,5-Dimethylpyridine",1,107.15599999999998,0,1,0,12.89
"1,4-Cyclohexadiene",2,80.12999999999998,0,1,0,0.0
Mecarbam,1,329.3800000000001,0,0,8,65.07000000000001
1-Phenylethanol,1,122.16699999999996,1,1,1,20.23
"1,2-Dichloropropane",1,112.987,0,0,1,0.0
2-Ethyl-2-hexanal,1,126.19899999999998,0,0,4,17.07
Disulfoton,1,274.413,0,0,9,18.46
methyltestosterone acetate,1,344.4950000000002,0,4,1,43.37000000000001
"2,4,6-PCB",1,257.547,0,2,1,0.0
difluron,1,310.687,2,2,2,58.2
Triclosan,1,289.545,1,2,2,29.46
diisooctyl phthalate,1,390.56400000000014,0,1,14,52.60000000000001
Corticosterone,1,346.46700000000016,2,4,2,74.6
"1,3,5-Trimethylbenzene ",1,120.19499999999998,0,1,0,0.0
dioctyl phthalate,1,390.56400000000036,0,1,16,52.60000000000001
1-Pentadecanol,1,228.41999999999996,1,0,13,20.23
"2,2',6,6'-PCB",1,291.992,0,2,1,0.0
"5,5-Dimethylbarbituric acid",1,156.141,2,1,0,75.27000000000002
2-Iodopropane,1,169.993,0,0,0,0.0
"1,2-Dinitrobenzene",1,168.10799999999998,0,1,2,86.28
3-Methyl-2-butanone,1,86.13399999999999,0,0,1,17.07
Hexadecane,1,226.44799999999992,0,0,13,0.0
"1,8-Cineole",1,154.253,0,3,0,9.23
Tricyclazole,1,189.243,0,3,0,30.19
2-Octanone,1,128.21499999999997,0,0,5,17.07
Methyl nonanoate,1,172.268,0,0,7,26.3
"1,4-Difluorobenzene",1,114.094,0,1,0,0.0
Thalidomide,1,258.233,1,3,1,83.55000000000003
Trifluralin,1,335.2820000000001,0,1,7,89.51999999999998
Ethanol,1,46.068999999999996,1,0,0,20.23
Cyclopentyl-5-spirobarbituric acid,1,182.179,2,2,0,75.27
Carbetamide,1,236.271,2,1,4,67.42999999999999
phenothrin,1,350.45800000000014,0,3,6,35.53
Cycluron,1,198.30999999999992,1,1,1,32.34
Mirex,1,545.5460000000002,0,6,0,0.0
1-Bromooctane,1,193.128,0,0,6,0.0
Benomyl,1,290.323,2,2,4,85.25
aminopyrine,1,231.299,0,2,2,30.17
3-Pentanol,1,88.15,1,0,2,20.23
p-Nitrotoluene,1,137.138,0,1,1,43.14
4-Methylpentanol,1,102.177,1,0,3,20.23
