test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9
1.71,0.99,1.84,1.57,2.06,2.28,2.3,1.71,0.99,3.7
-0.4,3.07,4.36,1.71,2.76,2.07,1.42,2.63,2.77,3.56
1.21,2.48,2.29,1.87,1.83,3.76,2.54,0.6,3.38,1.73
0.62,1.09,4.13,2.8,2.5,0.29,2.46,-0.28,-0.15,2.71
1.34,2.9,3.9,1.1,3.3,0.92,1.86,2.16,1.2,3.06
2.5,1.59,2.92,0.37,1.4,3.42,0.86,2.85,0.64,2.34
1.2,2.47,2.43,3.8,2.01,0.5,1.47,2.99,3.0,0.2
0.87,1.91,2.77,2.43,3.32,0.97,2.84,4.4,1.8,4.21
2.24,2.4,2.79,2.17,3.12,0.3,1.88,2.86,-0.66,3.0
3.45,3.6,2.19,2.81,1.83,0.76,3.1,2.41,2.16,2.14
2.7,3.18,1.64,1.47,2.5,3.6,4.24,0.96,2.81,3.17
3.56,3.6,3.6,0.86,2.6,1.6,3.14,3.9,3.3,3.0
3.1,2.2,0.68,2.36,1.73,1.79,1.0,0.62,1.55,0.3
-0.78,2.35,3.5,2.22,1.37,3.3,1.34,2.43,0.85,2.11
2.65,2.06,-0.97,2.74,2.4,0.96,2.0,3.51,1.1,3.0
1.51,1.2,3.29,2.4,3.58,1.06,1.03,1.6,2.19,2.4
1.9,2.87,0.18,2.7,1.92,1.2,0.26,3.89,4.0,2.2
1.2,0.81,2.9,2.97,0.0,0.5,0.47,2.7,0.7,0.48
3.4,1.72,0.76,0.97,3.4,0.37,-1.02,3.6,3.0,2.39
2.52,1.5,2.47,0.3,2.24,0.7,2.5,2.56,2.34,1.2
3.25,0.27,-0.12,4.2,2.0,3.19,2.89,3.42,0.4,2.78
3.84,2.92,-1.2,-0.83,1.0,2.1,1.41,2.41,3.2,2.37
3.5,3.11,2.98,3.53,1.0,2.8,2.89,2.12,3.0,3.89
1.6,0.29,4.23,2.9,0.83,3.48,3.9,0.8,0.01,0.31
4.05,0.7,1.92,3.89,1.21,1.1,-0.87,3.23,1.38,2.46
2.0,1.74,2.4,3.77,0.62,3.4,0.05,1.26,1.55,2.8
0.96,0.9,0.9,2.13,1.4,3.6,3.61,0.74,2.38,1.63
3.4,4.2,3.5,2.74,2.67,0.42,3.45,3.02,3.23,2.2
3.85,1.29,3.33,-1.48,-1.04,1.78,2.41,1.1,2.3,-0.14
2.43,2.7,2.5,2.78,3.03,3.2,1.72,0.51,1.5,3.7
1.52,1.91,3.8,1.1,2.96,0.67,2.48,0.45,1.2,3.9
3.7,2.41,2.6,2.7,3.6,3.9,4.1,1.97,2.26,2.24
2.43,3.4,3.06,1.4,3.97,2.89,2.62,2.75,3.68,2.89
2.16,1.92,3.61,2.7,3.0,3.19,3.25,2.49,4.09,2.71
0.79,1.4,3.54,1.66,2.9,2.7,0.89,2.07,2.87,1.68
1.96,2.35,3.0,2.66,2.6,2.3,1.9,1.52,1.69,2.01
1.83,0.44,0.57,2.33,2.3,2.31,3.18,3.4,4.5,-0.01
2.0,1.28,1.38,3.1,1.52,1.29,2.0,3.9,1.28,2.68
3.1,0.9,1.83,2.0,2.5,-0.09,3.92,3.8,1.81,2.4
2.8,2.0,-0.13,1.02,3.05,-0.72,1.43,2.47,3.1,-0.12
0.7,3.76,1.2,2.34,4.0,3.52,2.1,2.23,2.2,2.49
3.92,0.32,3.6,2.0,1.76,2.8,2.42,1.89,0.56,3.9
2.1,0.54,3.29,1.79,2.84,1.79,4.01,3.47,2.9,1.0
2.94,3.58,3.43,2.55,-0.22,2.1,1.62,1.35,2.9,1.2
2.39,1.61,1.02,2.8,2.3,1.85,2.8,-0.46,3.2,3.6
1.49,2.8,3.4,3.04,3.4,1.0,1.9,0.87,2.7,3.2
0.51,2.35,0.84,2.41,2.55,3.8,3.2,-0.8,2.8,1.33
2.49,2.5,1.64,1.65,3.31,3.5,1.81,-0.05,1.89,0.49
3.7,2.41,3.4,1.69,2.67,3.45,3.65,2.42,2.0,1.0
2.4,1.67,1.49,3.3,1.11,2.5,-0.69,1.98,1.09,3.68
2.3,3.46,1.34,1.5,1.6,1.65,2.64,-1.28,3.8,2.9
2.4,2.47,2.93,2.3,3.2,3.1,2.55,4.5,2.15,3.12
1.07,1.7,2.13,2.3,4.09,2.47,3.0,2.43,0.58,0.23
1.86,4.4,0.91,3.52,3.2,4.06,2.1,0.2,1.0,2.92
2.71,2.41,0.75,1.9,2.47,1.02,3.7,2.75,2.7,3.8
3.76,0.91,0.83,2.95,2.4,1.25,2.72,3.44,0.86,0.54
2.9,-1.4,2.52,2.06,1.4,3.12,0.8,1.6,1.97,3.17
1.33,2.93,1.33,2.74,2.4,1.9,3.03,-0.08,1.51,3.13
0.93,3.5,2.78,1.18,1.64,-0.01,2.9,0.57,3.76,1.17
1.85,1.89,2.61,2.23,2.12,-0.52,2.67,-1.31,2.21,0.72
2.87,3.3,1.6,1.74,0.22,3.09,0.9,1.2,4.1,-0.04
1.91,0.99,2.91,1.1,4.09,3.5,-0.43,1.4,0.8,1.6
1.65,1.23,2.19,3.3,2.84,2.9,1.61,2.1,-1.1,0.4
-1.25,1.93,2.01,-0.1,3.14,2.8,1.89,2.3,0.48,0.91
2.05,0.83,2.4,1.8,4.0,2.3,-0.06,2.41,2.75,3.38
2.12,3.1,3.11,3.1,3.1,-1.1,2.42,2.78,2.62,2.15
2.1,2.9,1.7,-0.12,1.84,1.3,2.11,3.94,0.6,3.5
2.17,0.68,2.7,4.26,1.3,3.1,3.16,2.8,1.61,4.43
0.74,2.56,3.58,0.34,-0.82,1.36,-0.66,1.0,3.65,1.0
3.65,3.91,2.83,1.15,0.8,0.48,2.4,0.36,0.99,0.6
0.7,2.64,3.65,3.09,1.25,-1.18,4.31,1.52,3.07,0.35
2.47,0.77,1.66,2.39,2.32,1.8,3.7,3.26,1.83,4.4
3.21,1.83,1.1,0.6,2.68,2.41,3.2,2.67,0.2,0.97
2.17,3.99,0.4,2.12,-0.18,2.51,0.48,3.5,2.41,3.05
2.51,2.55,2.79,0.99,3.9,3.1,3.1,1.74,2.19,3.22
2.72,1.88,3.45,4.06,1.4,0.83,2.47,3.95,2.4,0.94
2.74,1.91,1.86,1.44,-0.51,2.7,3.62,0.17,2.74,3.3
0.16,2.14,3.21,1.52,3.5,3.25,3.61,0.34,1.33,0.95
1.35,3.43,2.48,2.9,1.9,3.1,3.3,3.46,0.61,1.48
1.15,2.8,3.48,0.66,3.11,0.76,-0.09,2.91,2.21,2.27
-0.18,1.08,1.46,2.93,1.57,2.9,2.83,2.83,2.96,3.01
2.35,3.8,3.6,2.11,0.9,-0.97,3.56,2.0,3.1,3.04
0.3,0.68,2.12,4.12,3.0,2.79,3.82,2.51,3.6,-0.57
3.15,1.19,0.99,2.62,2.79,1.16,2.37,1.72,2.19,2.36
3.04,2.2,3.5,2.52,4.3,2.19,0.46,2.0,1.94,1.57
2.8,2.1,-0.65,4.3,3.18,0.68,1.67,2.85,2.71,1.18
0.25,4.1,3.3,3.0,1.52,2.17,2.2,1.67,1.9,1.8
0.11,2.4,1.6,0.51,2.74,3.62,2.2,1.7,2.06,0.14
-0.22,3.1,2.05,2.17,3.01,0.53,3.15,0.95,0.3,2.31
0.59,3.41,3.14,3.07,3.52,2.47,1.83,1.2,2.6,3.89
2.3,2.9,3.7,3.84,2.43,1.03,3.15,4.21,0.83,2.98
3.25,2.49,2.55,2.6,2.73,2.54,1.09,3.1,1.21,3.7
1.45,1.45,1.56,2.08,0.8,2.36,1.89,2.81,3.31,2.67
4.23,1.91,0.46,1.52,2.16,3.1,4.29,0.67,2.08,2.0
1.15,2.87,2.07,2.94,2.34,-1.45,2.6,2.67,3.57,2.23
2.0,0.71,2.45,-0.09,3.5,0.93,2.5,2.76,4.1,2.2
1.98,3.0,2.32,1.38,-0.88,2.9,1.69,0.33,3.2,1.06
3.2,2.5,1.26,4.2,2.87,2.6,3.8,2.65,1.71,2.04
2.49,-1.27,3.24,2.07,0.3,3.9,0.56,2.8,3.4,-0.71
2.13,1.0,3.0,2.7,2.41,1.7,2.3,3.22,1.35,3.64
3.22,2.4,2.8,-0.84,2.6,2.26,0.54,2.0,4.24,0.45
3.47,3.0,3.05,2.9,3.4,2.06,1.26,1.69,1.64,3.1
3.16,1.51,0.14,3.99,2.43,3.41,-0.28,2.42,3.42,3.1
3.6,2.26,3.12,4.24,1.1,3.1,2.18,2.6,3.6,3.11
2.01,1.87,3.36,2.1,3.5,3.1,1.4,2.8,1.98,1.6
0.8,3.8,2.2,0.78,0.87,2.8,1.4,2.46,2.55,3.46
3.11,2.87,3.08,2.54,1.63,1.8,-0.45,1.03,3.14,1.62
2.79,0.9,1.86,-0.04,3.68,1.13,2.33,1.59,1.97,2.69
2.1,1.6,3.1,3.52,0.39,-1.33,2.03,3.3,1.92,3.94
4.1,3.2,2.35,1.13,3.15,1.87,2.58,-0.15,1.87,2.15
1.3,1.01,1.52,0.91,3.1,4.3,2.12,2.89,0.28,1.78
3.4,1.48,3.16,1.3,3.23,0.16,1.49,2.8,2.99,3.96
3.28,2.81,3.1,0.68,2.83,2.93,2.71,2.93,1.0,2.66
-0.94,3.47,2.39,0.53,1.91,1.75,3.99,2.05,-0.04,3.16
2.8,3.04,4.0,0.77,1.51,0.21,1.85,1.5,1.6,2.68
2.35,2.07,1.76,3.21,3.2,0.23,3.22,2.37,2.54,3.52
3.57,2.48,3.3,2.03,-0.2,3.13,3.4,3.08,0.7,3.5
3.7,2.7,-0.66,1.2,1.5,2.84,0.7,1.98,3.65,4.0
3.21,2.04,3.15,1.6,4.2,1.92,1.05,3.45,-0.62,0.06
3.61,2.39,3.8,1.49,1.02,3.05,4.0,3.22,1.88,1.61
2.2,0.4,1.73,1.19,1.68,2.04,1.74,1.7,1.33,1.3
2.8,1.7,3.19,1.53,1.06,3.5,1.8,1.33,1.45,3.71
1.5,2.38,1.3,0.99,0.49,2.32,1.9,0.36,0.46,2.64
3.68,2.17,1.5,-0.01,2.4,2.87,2.33,3.01,0.33,1.34
0.75,3.78,2.15,3.08,3.57,4.07,0.45,1.0,1.33,2.9
2.16,1.11,3.36,1.4,-0.09,1.0,2.39,1.85,2.3,1.11
3.52,1.2,3.5,2.63,-1.2,2.75,2.4,1.67,2.73,1.64
2.7,2.9,0.98,1.0,2.9,2.98,3.18,2.28,3.5,0.85
1.55,3.2,2.0,3.95,0.5,3.57,3.2,1.82,2.14,1.07
4.12,1.22,2.77,-0.41,1.75,3.6,1.5,2.49,2.4,1.3
3.45,3.27,3.26,0.89,2.14,1.78,2.6,2.67,1.91,1.01
1.66,3.41,3.3,2.6,2.86,0.4,2.45,3.37,3.4,3.63
3.34,-0.51,1.95,-0.14,3.37,2.75,0.93,2.6,4.21,3.45
3.6,3.37,3.8,2.39,3.2,1.01,3.86,3.4,3.35,1.99
2.55,3.0,1.12,0.74,3.8,3.1,4.13,3.25,2.01,2.5
3.2,3.62,2.86,2.9,2.0,2.9,1.4,3.7,4.3,2.76
1.93,3.3,3.14,3.0,2.16,1.91,2.9,1.9,2.36,0.9
3.37,4.0,-0.06,0.56,0.38,2.66,2.75,2.65,2.63,3.08
3.29,2.58,1.64,3.1,3.35,1.91,2.68,2.75,-0.03,3.21
2.44,3.37,3.5,3.2,2.7,3.2,3.05,2.36,1.58,1.89
4.21,1.4,2.03,2.5,3.9,2.69,1.56,2.79,3.0,3.0
2.8,0.8,1.37,2.94,1.52,3.54,0.55,2.9,0.25,2.0
2.0,2.97,3.46,2.92,3.36,3.36,3.93,1.2,2.9,3.8
0.61,3.83,-0.5,1.3,4.1,3.89,2.98,1.05,0.5,1.66
3.8,1.24,2.49,0.0,3.09,2.77,0.78,0.63,3.9,3.0
3.02,2.7,1.3,2.04,3.6,0.2,0.6,2.3,2.8,2.91
0.01,1.37,3.15,1.77,1.3,1.2,3.1,3.83,4.2,3.35
2.46,1.13,1.74,-0.95,1.1,0.31,1.59,2.3,0.8,1.98
1.3,1.41,0.82,-0.59,3.41,1.99,1.31,3.4,3.56,-0.18
0.91,2.93,0.78,0.93,2.5,1.91,3.0,3.28,2.4,1.98
2.23,3.8,0.33,2.03,2.65,3.78,4.26,1.2,2.1,3.47
1.86,2.62,-0.25,3.91,2.23,2.9,1.27,2.74,0.68,2.4
1.97,2.58,3.67,2.83,2.79,-1.41,2.1,2.1,3.3,0.55
3.04,0.93,3.6,2.8,3.31,3.46,3.1,1.74,3.2,0.11
3.34,1.6,2.2,3.4,2.5,2.9,3.36,0.89,2.55,0.88
3.1,1.72,-1.03,4.13,-0.06,3.0,3.3,2.1,-0.51,0.2
2.11,1.6,-0.88,3.4,2.3,2.75,2.52,1.53,0.07,3.83
1.12,0.3,2.58,3.6,2.9,3.5,3.98,3.2,2.45,2.93
2.67,3.5,2.5,2.5,1.22,1.19,3.0,2.81,-0.51,3.05
-1.17,2.5,0.8,0.52,0.76,2.39,2.07,1.78,1.92,2.11
2.64,3.1,2.44,-0.84,2.63,3.91,1.79,2.44,1.97,1.61
-0.21,2.74,1.61,1.04,1.67,3.55,0.92,0.97,2.67,1.6
-0.31,0.82,4.4,2.13,1.45,3.5,1.41,1.41,2.51,0.89
3.08,2.03,1.84,1.72,3.9,3.62,1.34,2.23,1.73,0.93
2.91,-1.48,3.21,0.86,3.2,1.9,1.8,1.06,1.61,2.82
0.69,3.3,2.43,2.32,1.6,4.23,3.22,3.1,1.13,2.38
2.24,0.76,4.2,2.38,2.0,2.6,4.3,2.79,0.76,0.91
3.38,1.86,3.2,3.33,3.04,2.01,1.0,4.01,4.4,1.88
0.85,1.13,1.72,2.55,2.7,0.72,2.72,0.59,1.74,2.5
0.81,0.88,3.31,1.6,3.45,2.26,2.43,2.2,1.75,1.19
2.71,2.01,0.21,0.98,3.9,3.4,3.96,1.91,2.2,2.82
2.29,2.78,2.14,1.8,1.93,1.5,3.5,2.4,3.0,3.77
2.51,2.96,0.69,1.44,1.4,3.84,2.7,1.74,0.31,3.02
1.95,2.19,3.86,2.35,1.85,2.1,3.7,1.11,2.11,3.4
0.92,2.81,0.68,0.91,3.9,-0.65,3.99,1.96,2.39,0.62
3.01,1.56,4.14,2.23,1.7,3.6,2.58,2.58,2.87,3.43
0.44,0.07,-0.16,2.15,2.11,0.63,1.33,2.32,0.92,2.7
2.26,1.99,0.79,1.52,2.7,3.15,0.3,1.36,0.93,-0.1
2.9,4.31,2.46,2.11,2.3,2.27,2.93,2.79,2.3,3.7
1.9,1.0,0.2,3.77,3.1,1.6,0.6,0.72,0.46,3.46
3.19,2.64,2.04,1.69,3.1,0.77,1.16,2.01,0.05,0.91
0.37,0.22,3.1,3.12,2.34,1.66,3.5,4.05,1.69,3.7
2.44,1.76,4.3,2.5,4.05,3.32,2.33,4.5,2.71,1.37
3.45,2.74,2.6,2.9,2.37,1.3,2.2,2.17,3.6,3.4
1.3,2.09,-0.12,1.8,-0.65,2.8,3.06,3.57,1.52,2.41
1.1,0.79,1.5,3.7,2.28,2.49,2.9,4.3,2.93,1.95
2.41,3.67,1.91,2.51,3.08,2.1,0.1,1.3,0.77,2.68
2.18,2.12,1.25,3.3,1.72,3.7,0.6,2.5,2.14,1.63
2.8,1.6,4.42,3.47,3.56,3.34,1.92,1.52,1.79,3.0
3.83,0.61,3.62,2.42,0.12,1.21,1.38,3.45,1.97,2.75
2.23,4.28,1.58,2.12,4.03,2.18,0.5,1.23,2.68,-0.49
3.2,2.26,1.94,2.77,1.3,1.65,2.97,3.17,1.7,4.0
3.4,2.8,1.22,0.29,3.8,1.37,3.1,2.98,1.79,1.83
-0.07,1.65,2.83,3.35,2.93,-0.07,2.8,-0.09,1.6,2.6
3.4,2.13,3.22,1.8,3.15,1.75,3.97,3.7,3.37,3.3
2.92,1.42,1.6,1.6,0.7,3.3,2.82,1.86,0.87,1.0
1.96,0.97,3.34,3.97,2.8,2.4,1.35,2.5,3.36,1.74
2.76,1.61,3.2,3.3,2.11,-1.01,3.3,3.23,3.5,2.68
2.3,0.68,2.46,0.62,1.71,2.96,1.72,1.99,2.22,2.16
1.23,3.72,3.67,4.36,-0.9,3.0,0.97,3.92,1.52,4.2
0.01,2.38,3.11,2.88,2.4,-0.22,1.39,2.63,1.64,2.61
-0.16,-0.28,2.9,3.0,3.62,2.78,-1.08,3.54,2.74,1.3
1.44,3.18,3.12,1.4,4.21,1.41,2.81,3.03,2.41,2.82
3.02,-0.14,1.66,2.56,-0.34,1.7,3.9,3.7,1.79,0.97
3.73,2.8,0.39,2.39,3.85,2.1,3.62,1.79,2.46,2.52
2.8,3.36,2.9,2.79,1.02,3.3,1.26,3.52,3.36,3.9
3.2,2.42,3.32,-1.01,2.9,2.18,1.7,3.8,3.07,2.1
2.41,0.74,3.01,3.32,3.53,2.9,1.91,2.05,3.2,0.75
2.71,2.63,2.19,0.77,1.52,0.68,3.4,1.12,2.8,3.33
3.5,0.8,2.74,3.8,2.71,1.94,3.8,2.08,2.51,1.03
1.16,0.67,4.4,1.07,3.78,3.3,3.1,4.4,3.8,1.19
3.5,2.08,1.1,0.11,3.15,1.78,1.2,3.4,3.7,3.45
2.4,2.37,0.2,0.16,-0.8,2.34,1.6,3.04,-0.25,3.3
2.99,2.86,3.2,2.8,1.5,1.55,2.41,3.21,2.77,2.8
3.4,-0.05,3.7,3.18,2.19,2.55,-0.4,1.99,2.01,3.2
2.5,2.1,-0.2,3.57,1.27,1.0,3.56,1.9,2.56,1.7
3.51,1.13,2.92,1.11,3.15,2.5,0.6,1.9,2.37,3.1
2.1,4.33,2.35,2.0,2.47,-0.69,3.4,3.3,1.67,3.56
0.78,2.74,3.18,3.19,2.89,2.81,0.4,-1.08,3.59,2.4
2.96,-0.1,1.3,3.02,2.77,1.5,0.79,1.49,3.0,2.82
3.17,1.26,-0.45,1.26,3.3,1.77,2.4,2.98,3.5,2.83
2.81,3.27,1.0,4.39,3.17,1.92,2.5,2.56,1.86,1.1
-0.31,-0.04,2.7,0.2,3.56,2.6,3.3,3.22,2.9,1.71
2.77,2.37,1.13,3.5,2.55,2.61,3.0,-0.91,2.27,1.21
1.64,2.1,3.15,2.61,2.8,-0.65,2.4,1.22,3.8,0.57
3.16,2.3,3.53,3.48,3.76,0.77,2.99,2.08,2.35,3.64
3.39,2.3,2.26,2.16,3.8,3.25,2.08,2.6,3.85,2.5
2.7,3.51,3.0,3.7,3.3,2.0,3.1,1.78,2.83,-0.16
1.09,2.2,2.78,2.81,2.93,2.55,2.67,2.9,4.0,-0.83
0.78,3.22,3.1,-0.21,0.02,1.6,2.83,4.15,-0.5,1.53
2.8,3.4,2.55,2.82,2.0,2.0,2.35,2.54,0.6,0.6
3.3,-0.59,1.89,-0.34,3.99,0.35,3.3,2.77,0.79,1.75
1.9,0.3,3.4,2.37,3.14,4.1,3.4,2.0,2.6,2.62
2.19,3.3,1.75,2.9,2.14,2.07,3.39,4.3,1.13,2.46
3.13,3.56,1.85,2.81,3.69,0.82,1.7,1.0,2.31,2.01
2.74,0.9,1.52,0.97,1.6,3.14,4.2,1.49,0.96,2.7
3.21,2.3,2.39,2.35,2.59,2.12,0.7,0.21,2.43,2.9
1.45,3.59,2.2,2.9,0.36,2.44,0.7,2.8,3.3,2.06
2.66,-0.21,4.0,2.07,3.57,2.8,3.41,1.2,1.81,2.8
2.47,0.1,1.2,3.38,1.46,3.6,2.9,2.0,2.19,3.15
2.89,1.07,2.16,-0.16,0.33,3.5,0.05,-0.72,1.66,1.72
3.8,3.56,2.16,1.6,2.71,2.03,1.08,3.12,2.08,0.34
1.96,2.6,0.81,1.99,3.6,-0.01,1.8,2.72,1.87,1.02
2.12,2.7,3.1,2.42,3.9,1.49,1.33,3.5,3.62,3.1
2.98,2.0,1.33,2.41,-0.7,1.56,2.6,2.54,1.75,2.5
1.23,1.27,0.6,3.54,1.62,2.8,1.2,-0.28,3.17,0.22
2.82,1.26,3.12,2.26,4.04,1.17,0.87,1.5,3.1,0.7
1.6,2.26,1.75,3.49,0.7,3.27,2.14,2.82,3.1,-1.1
2.34,1.5,0.56,2.55,-0.87,3.53,3.19,2.4,2.8,3.26
2.1,2.87,2.0,2.71,1.78,1.53,1.75,2.5,2.8,3.15
2.41,2.6,0.67,2.8,2.03,3.06,2.41,3.97,2.0,3.17
-0.08,-0.34,1.3,1.6,0.78,1.49,1.35,3.34,2.9,1.94
1.88,2.23,2.7,-0.63,2.0,1.42,2.49,3.95,-0.33,4.2
3.4,0.53,-0.7,1.43,1.42,3.52,1.51,3.44,4.2,1.26
2.68,1.85,3.9,2.55,2.33,0.25,3.0,1.92,3.83,2.18
2.06,2.68,1.97,1.33,1.82,2.52,2.0,2.7,1.91,3.62
2.15,1.64,3.2,2.23,2.47,1.75,1.33,0.6,1.4,2.5
1.68,2.96,0.74,2.39,3.35,3.58,3.0,1.1,-0.53,0.52
-0.27,1.78,3.1,2.8,1.07,3.99,2.76,2.54,3.6,2.6
3.72,3.7,2.3,1.0,3.78,1.84,2.17,1.39,0.89,1.4
3.7,3.75,2.66,3.3,1.39,3.52,2.16,3.7,3.47,3.3
0.8,1.33,2.9,2.8,2.2,3.5,2.71,3.21,-0.12,1.9
2.9,2.0,0.89,3.1,2.37,0.4,-0.53,1.5,1.95,0.23
-0.1,3.7,3.34,0.29,3.22,2.3,2.97,3.37,3.0,1.07
-0.01,4.21,2.55,3.33,0.92,3.6,2.35,3.16,1.96,2.2
2.62,2.15,0.7,2.15,3.1,1.4,2.6,3.15,4.23,2.3
2.54,-0.01,3.45,0.92,3.6,1.91,2.21,1.4,1.49,1.27
3.16,1.75,1.46,1.94,2.49,2.05,3.25,3.52,1.75,2.7
-0.12,2.7,3.01,3.62,2.4,3.02,3.8,3.4,1.41,1.13
2.74,1.91,3.8,2.03,0.7,3.0,3.1,3.9,3.69,1.97
2.67,2.09,0.36,-0.12,1.61,3.1,1.15,1.6,0.15,3.04
2.68,2.68,3.09,3.9,3.33,1.5,-0.04,2.87,2.1,1.55
3.27,3.04,1.22,0.01,4.26,3.6,3.9,3.78,2.61,2.33
2.08,0.94,3.41,2.26,2.82,2.87,3.3,1.33,0.7,1.97
0.2,2.76,3.32,3.4,3.0,2.75,3.21,0.98,-0.78,1.98
3.58,0.4,1.38,2.09,3.5,0.22,2.71,0.54,4.38,2.34
0.15,1.5,3.29,2.1,2.44,0.46,0.4,-0.96,1.4,1.66
-0.2,1.61,0.86,3.04,2.49,3.01,2.43,1.1,1.06,3.6
2.91,4.0,4.01,-0.22,3.59,2.55,4.23,1.84,2.04,3.36
3.4,1.23,1.71,2.75,3.0,3.83,3.7,4.1,2.65,2.44
0.84,1.38,1.0,2.32,2.58,1.44,1.06,2.68,1.5,2.75
-0.1,2.23,0.7,2.67,2.9,0.22,3.6,1.7,3.3,2.12
2.5,2.36,1.5,3.45,1.6,2.36,1.8,3.83,1.32,3.97
1.0,3.07,0.95,1.3,1.79,0.36,1.11,2.87,0.6,2.09
-0.87,3.97,1.88,4.3,1.07,0.1,2.43,3.97,3.1,0.53
2.37,0.59,4.25,2.4,0.8,1.67,3.31,1.63,3.62,3.1
2.21,1.89,4.2,3.6,2.05,3.44,0.27,0.99,0.29,2.77
2.23,2.99,2.02,3.1,3.45,2.4,2.1,3.22,3.2,2.53
0.7,1.79,-0.52,1.78,2.83,2.4,1.64,3.2,1.91,2.1
3.6,3.91,1.77,2.59,3.24,2.4,2.63,2.7,-0.83,1.26
2.16,4.1,2.86,1.55,2.9,1.86,2.28,0.06,3.2,3.0
1.89,3.71,1.02,3.6,3.6,0.19,1.75,0.68,0.35,2.74
2.67,3.58,3.1,2.96,3.41,1.19,0.41,-0.66,4.0,2.53
3.8,2.92,1.34,1.88,3.2,-0.09,3.0,0.52,0.25,2.5
2.03,0.57,2.6,3.24,2.55,1.95,2.26,2.7,-0.14,1.3
2.22,0.8,2.53,0.51,0.47,1.78,0.93,2.07,2.9,3.32
1.08,2.59,0.37,3.3,3.9,2.62,0.58,0.94,1.3,2.3
3.31,3.38,0.35,2.29,3.29,2.27,-1.02,3.35,3.0,3.05
4.13,1.59,2.39,2.51,1.0,2.96,1.59,1.45,4.02,2.41
3.54,-0.1,4.27,2.63,1.6,1.78,3.0,2.96,3.43,3.97
2.82,2.69,3.1,3.29,1.57,2.5,0.2,3.3,3.58,1.42
1.89,3.3,1.2,1.2,1.54,3.07,1.73,3.37,3.04,2.48
0.46,2.84,1.61,2.2,0.95,3.16,3.7,1.25,2.83,2.8
1.94,3.8,1.21,1.91,0.7,3.9,2.4,2.66,-0.4,3.17
3.41,2.24,4.06,1.68,2.9,1.31,2.96,3.2,2.7,2.16
3.8,1.42,3.66,2.75,2.0,0.23,2.8,2.54,1.4,0.75
2.2,3.1,0.54,2.8,2.5,3.4,1.74,2.64,0.97,2.69
3.35,2.28,0.68,3.9,1.26,2.6,1.05,3.44,2.28,2.1
3.6,0.15,1.26,3.25,2.03,3.8,1.28,2.7,2.8,3.2
2.68,1.97,3.37,0.61,2.83,2.61,0.99,3.35,2.0,1.94
4.0,3.57,0.83,1.79,0.77,0.78,1.27,2.4,1.15,1.49
-0.28,2.62,0.9,-0.51,3.76,2.7,3.37,1.94,-1.02,3.01
3.25,2.05,0.92,0.97,0.72,2.94,2.06,2.7,1.7,4.13
2.5,1.05,2.41,-0.38,0.15,2.31,2.91,3.66,0.58,3.95
2.95,1.72,1.42,2.83,2.54,1.5,1.6,3.7,3.38,0.33
3.45,2.76,3.94,2.06,3.49,3.14,1.92,2.55,2.96,1.75
3.5,2.23,3.5,1.38,3.97,3.05,1.19,2.63,0.78,1.53
1.98,0.31,3.45,-0.31,0.92,0.27,2.2,0.92,0.9,2.83
2.9,2.4,2.82,3.12,1.06,3.28,3.8,1.59,2.4,1.74
1.3,0.24,2.64,2.5,3.2,1.88,2.7,2.18,2.12,2.69
2.12,1.92,2.79,1.79,2.93,3.46,0.77,2.98,3.99,0.33
2.93,3.6,2.39,3.8,3.57,-0.1,2.35,0.38,4.15,2.6
1.5,3.69,2.52,2.8,3.1,1.0,0.2,2.87,2.45,3.1
0.29,3.7,2.23,1.2,3.84,2.75,2.4,3.27,3.33,3.56
3.6,1.6,2.52,2.16,3.01,2.83,2.46,1.53,1.44,2.72
-0.65,-0.58,1.78,2.83,3.16,2.93,1.7,3.2,4.48,1.65
3.14,2.94,1.58,2.43,2.5,-0.2,2.72,-0.06,2.99,3.4
3.92,2.48,0.7,1.5,2.94,1.51,3.31,1.2,4.26,1.38
2.41,2.83,1.65,2.9,3.07,2.88,1.28,2.4,-0.57,3.65
3.41,0.8,3.5,2.41,3.8,3.83,3.0,3.14,2.5,4.15
1.09,3.4,2.14,1.3,3.5,3.72,3.97,3.0,3.16,2.18
1.44,1.2,2.4,1.86,2.27,3.14,3.2,3.86,1.7,3.07
-1.27,2.86,2.63,2.66,4.0,2.3,2.8,1.98,2.05,0.66
1.53,3.5,3.58,1.74,-0.88,2.87,2.83,3.7,2.9,1.4
1.64,0.4,2.4,2.5,1.78,2.48,2.0,1.11,2.5,4.05
1.29,2.7,2.2,2.56,3.7,1.22,1.7,3.8,3.75,3.61
2.77,3.5,3.56,-0.22,2.93,4.38,3.8,1.45,2.5,3.6
2.29,1.56,1.45,1.0,-0.92,0.3,-0.87,3.72,3.16,1.52
0.49,2.4,4.15,0.9,3.31,2.54,1.2,3.8,2.52,-0.78
2.14,1.2,3.93,0.88,2.9,0.95,4.3,0.85,3.57,0.84
1.43,4.01,2.41,1.09,3.0,2.45,0.4,2.87,3.1,3.3
3.22,2.1,3.6,3.6,0.8,3.0,1.37,1.96,2.56,4.1
0.08,2.46,3.21,1.97,1.13,2.8,1.13,1.22,2.5,2.5
3.2,3.0,1.02,2.23,3.2,1.19,1.02,3.12,2.3,1.94
